model_name,n,sdsize,sddepth,att,maa,mintrap
n10_12.bnet,10,3,1,2,0,2
n10_17.bnet,10,2,1,1,0,1
n10_15.bnet,10,3,1,2,0,2
n10_13.bnet,10,3,1,2,0,2
n10_1.bnet,10,1,0,1,0,1
n10_11.bnet,10,3,2,1,0,1
n10_10.bnet,10,2,1,1,0,1
n10_16.bnet,10,11,3,4,0,4
n10_14.bnet,10,7,2,4,0,4
n10_0.bnet,10,8,3,3,0,3
n10_24.bnet,10,3,1,2,0,2
n10_23.bnet,10,1,0,1,0,1
n10_22.bnet,10,1,0,1,0,1
n10_25.bnet,10,1,0,1,0,1
n10_20.bnet,10,6,2,3,0,3
n10_19.bnet,10,1,0,1,0,1
n10_2.bnet,10,1,0,1,0,1
n10_21.bnet,10,4,2,2,0,2
n10_26.bnet,10,3,1,2,0,2
n10_18.bnet,10,2,1,1,0,1
n10_27.bnet,10,1,0,1,0,1
n10_33.bnet,10,3,1,2,0,2
n10_28.bnet,10,1,0,1,0,1
n10_34.bnet,10,3,1,2,0,2
n10_31.bnet,10,3,2,1,0,1
n10_3.bnet,10,3,1,2,0,2
n10_30.bnet,10,5,2,2,0,2
n10_29.bnet,10,10,2,6,0,6
n10_35.bnet,10,1,0,1,0,1
n10_32.bnet,10,27,3,8,0,8
n10_36.bnet,10,1,0,1,0,1
n10_41.bnet,10,1,0,1,0,1
n10_39.bnet,10,1,0,1,0,1
n10_4.bnet,10,5,2,2,0,2
n10_38.bnet,10,3,1,2,0,2
n10_44.bnet,10,1,0,1,0,1
n10_42.bnet,10,3,1,2,0,2
n10_43.bnet,10,5,2,3,0,3
n10_40.bnet,10,1,0,1,0,1
n10_37.bnet,10,2,1,1,0,1
n10_5.bnet,10,5,2,2,0,2
n10_49.bnet,10,6,2,3,0,3
n10_52.bnet,10,1,0,1,0,1
n10_46.bnet,10,1,0,1,0,1
n10_53.bnet,10,1,0,1,0,1
n10_45.bnet,10,5,1,4,0,4
n10_50.bnet,10,3,1,2,0,2
n10_51.bnet,10,3,1,2,0,2
n10_47.bnet,10,1,0,1,0,1
n10_48.bnet,10,3,1,2,0,2
n10_61.bnet,10,1,0,1,0,1
n10_60.bnet,10,8,3,4,0,4
n10_62.bnet,10,1,0,1,0,1
n10_56.bnet,10,20,4,7,0,7
n10_58.bnet,10,1,0,1,0,1
n10_59.bnet,10,1,0,1,0,1
n10_57.bnet,10,3,1,2,0,2
n10_55.bnet,10,5,2,2,0,2
n10_54.bnet,10,2,1,1,0,1
n10_6.bnet,10,19,3,8,0,8
n10_68.bnet,10,1,0,1,0,1
n10_69.bnet,10,3,1,2,0,2
n10_64.bnet,10,5,3,2,0,2
n10_63.bnet,10,1,0,1,0,1
n10_7.bnet,10,1,0,1,0,1
n10_70.bnet,10,1,0,1,0,1
n10_67.bnet,10,1,0,1,0,1
n10_65.bnet,10,4,2,1,0,1
n10_66.bnet,10,7,3,2,0,2
n10_71.bnet,10,1,0,1,0,1
n10_74.bnet,10,1,0,1,0,1
n10_76.bnet,10,1,0,1,0,1
n10_73.bnet,10,1,0,1,0,1
n10_80.bnet,10,2,1,1,0,1
