name,N,sd size,depth,attractors,motif-avoidant-attractors,minimal trapspaces
003.bnet,20,5,2,,,
005.bnet,28,7,4,,,
007.bnet,5,3,1,,,
008.bnet,28,53,4,,,
010.bnet,15,9,2,,,
011.bnet,44,65,3,,,
013.bnet,34,6,2,,,
015.bnet,16,5,1,,,
020.bnet,41,18,3,,,
021.bnet,17,17,3,,,
022.bnet,22,97,4,,,
023.bnet,10,4,2,,,
024.bnet,20,35,3,,,
026.bnet,18,1,0,,,
028.bnet,18,257,1,,,
029.bnet,11,5,1,,,
030.bnet,24,65,1,,,
031.bnet,9,2,1,,,
032.bnet,40,10,2,,,
040.bnet,23,59,3,,,
042.bnet,24,1025,1,,,
043.bnet,33,9,3,,,
044.bnet,26,21,4,,,
047.bnet,23,513,1,,,
049.bnet,19,3,1,,,
051.bnet,70,27,5,,,
053.bnet,15,9,2,,,
054.bnet,62,5,2,,,
055.bnet,19,6,3,,,
057.bnet,15,3,2,,,
058.bnet,14,1,0,,,
060.bnet,49,65,2,,,
061.bnet,26,10,3,,,
063.bnet,13,11,2,,,
064.bnet,12,73,3,,,
065.bnet,32,15,3,,,
067.bnet,13,19,2,,,
068.bnet,23,49,2,,,
069.bnet,22,5,1,,,
070.bnet,53,43,4,,,
073.bnet,33,48,5,,,
074.bnet,18,5,2,,,
076.bnet,51,58,5,,,
081.bnet,42,5,1,,,
085.bnet,27,25,2,,,
086.bnet,20,15,3,,,
088.bnet,6,4,1,,,
089.bnet,17,39,4,,,
090.bnet,18,49,4,,,
091.bnet,16,43,4,,,
095.bnet,10,51,5,,,
096.bnet,20,5,2,,,
097.bnet,10,5,1,,,
099.bnet,19,58,3,,,
100.bnet,21,9,1,,,
102.bnet,22,89,3,,,
104.bnet,14,23,3,,,
107.bnet,33,12,4,,,
108.bnet,25,13,3,,,
109.bnet,5,2,1,,,
110.bnet,9,3,1,,,
119.bnet,19,65,1,,,
129.bnet,34,3,1,,,
133.bnet,10,21,3,,,
134.bnet,38,10,2,,,
135.bnet,30,5,1,,,
136.bnet,28,11,2,,,
141.bnet,45,5,1,,,
145.bnet,62,3,1,,,
147.bnet,16,87,2,,,
148.bnet,83,2,1,,,
149.bnet,14,6,2,,,
150.bnet,33,55,5,,,
153.bnet,18,6,2,,,
154.bnet,21,44,4,,,
158.bnet,7,3,1,,,
161.bnet,96,5,1,,,
162.bnet,18,513,2,,,
165.bnet,8,33,2,,,
168.bnet,13,65,1,,,
169.bnet,7,5,1,,,
170.bnet,7,11,2,,,
171.bnet,7,9,3,,,
172.bnet,7,17,3,,,
174.bnet,19,54,4,,,
176.bnet,49,7,2,,,
177.bnet,34,47,4,,,
178.bnet,48,46,4,,,
180.bnet,12,5,2,,,
181.bnet,13,7,4,,,
182.bnet,14,23,6,,,
183.bnet,35,63,4,,,
184.bnet,6,5,3,,,
185.bnet,15,56,3,,,
186.bnet,10,49,3,,,
189.bnet,6,5,2,,,
190.bnet,37,33,1,,,
191.bnet,19,12,2,,,
193.bnet,30,17,3,,,
198.bnet,11,7,3,,,
199.bnet,30,20,3,,,
200.bnet,26,7,3,,,
201.bnet,33,13,3,,,
202.bnet,31,8,4,,,
203.bnet,40,10,3,,,
204.bnet,77,4,2,,,
205.bnet,45,25,2,,,
208.bnet,15,14,4,,,
210.bnet,144,2,1,,,
211.bnet,183,3,2,,,
212.bnet,16,15,2,,,
