name,N,sd size,depth,attractors,motif-avoidant-attractors,minimal trapspaces
001.bnet,321,1,0,1,0,1
002.bnet,139,10656,,24,0,24
003.bnet,20,1,0,1,0,1
004.bnet,247,17620,,352,0,352
005.bnet,28,7,4,1,0,1
006.bnet,68,1,0,1,0,1
007.bnet,5,3,1,2,0,2
008.bnet,28,5,2,3,0,3
009.bnet,73,1,0,1,0,1
010.bnet,15,1,0,1,0,1
011.bnet,44,6,2,2,0,2
012.bnet,101,1,0,1,0,1
013.bnet,34,1,0,1,0,1
014.bnet,61,4,2,2,0,2
015.bnet,16,1,0,1,0,1
016.bnet,118,1,0,1,0,1
017.bnet,50,6,2,3,0,3
018.bnet,104,2,1,1,0,1
019.bnet,86,1,0,1,0,1
020.bnet,41,6,2,2,0,2
021.bnet,17,1,0,1,0,1
022.bnet,22,1,0,1,0,1
023.bnet,10,1,0,1,0,1
024.bnet,20,1,0,1,0,1
025.bnet,60,4,2,2,0,2
026.bnet,18,1,0,1,0,1
027.bnet,26,1,0,1,0,1
028.bnet,18,1,0,1,0,1
029.bnet,11,1,0,1,0,1
030.bnet,24,1,0,1,0,1
031.bnet,9,2,1,1,0,1
032.bnet,40,2,1,1,0,1
033.bnet,24,432,7,36,0,36
034.bnet,23,6680,15,180,0,180
035.bnet,16,6,2,3,0,3
036.bnet,16,30,4,8,0,8
037.bnet,16,240,7,27,0,27
038.bnet,25,1809,11,22,0,22
039.bnet,138,3,1,2,0,2
040.bnet,23,3,1,2,0,2
041.bnet,131,1,0,1,0,1
042.bnet,24,1,0,1,0,1
043.bnet,33,9,3,3,0,3
044.bnet,26,5,2,2,0,2
045.bnet,24,1,0,1,0,1
046.bnet,53,119,7,17,0,17
047.bnet,23,1,0,1,0,1
048.bnet,73,1,0,1,0,1
049.bnet,19,1,0,1,0,1
050.bnet,188,18,3,6,0,6
051.bnet,70,13,4,5,0,5
052.bnet,31,3,1,2,0,2
053.bnet,15,1,0,1,0,1
054.bnet,62,1,0,1,0,1
055.bnet,19,6,3,3,0,3
056.bnet,91,2,1,1,0,1
057.bnet,15,3,2,1,0,1
058.bnet,14,1,0,1,0,1
059.bnet,67,1,0,1,0,1
060.bnet,49,3,1,2,0,2
061.bnet,26,2,1,1,0,1
062.bnet,18,1,0,1,0,1
063.bnet,13,1,0,1,0,1
064.bnet,12,3,1,2,0,2
065.bnet,32,4,1,3,0,3
066.bnet,38,4,2,2,0,2
067.bnet,13,1,0,1,0,1
068.bnet,23,3,1,2,0,2
069.bnet,22,1,0,1,0,1
070.bnet,53,1,0,1,0,1
071.bnet,42,1,0,1,0,1
072.bnet,81,3,1,2,0,2
073.bnet,33,8,2,4,0,4
074.bnet,18,5,2,3,0,3
075.bnet,47,4,2,1,0,1
076.bnet,51,1,0,1,0,1
077.bnet,66,1,0,1,0,1
078.bnet,164,8,3,1,0,1
079.bnet,197,475,,4,0,4
080.bnet,110,1,0,1,0,1
081.bnet,42,1,0,1,0,1
082.bnet,128,1,0,1,0,1
083.bnet,133,3,2,1,0,1
084.bnet,81,8,3,1,0,1
085.bnet,27,1,0,1,0,1
086.bnet,20,4,1,3,0,3
087.bnet,133,1,0,1,0,1
088.bnet,6,4,1,3,0,3
089.bnet,17,1,0,1,0,1
090.bnet,18,1,0,1,0,1
091.bnet,16,1,0,1,0,1
092.bnet,69,1,0,1,0,1
