name,N,sd size,depth,attractors,motif-avoidant-attractors,minimal trapspaces
01.bnet,100,2,1,,,1
02.bnet,100,9,3,,,5
03.bnet,100,2,1,,,1
04.bnet,100,1,0,,,1
05.bnet,100,6,3,,,1
06.bnet,100,4,2,,,1
07.bnet,100,8,3,,,3
08.bnet,100,3,2,,,1
09.bnet,100,9,3,,,3
10.bnet,100,12,4,,,7
11.bnet,100,14,5,,,1
12.bnet,100,7,4,,,1
13.bnet,100,36,6,,,6
14.bnet,100,3,2,,,1
15.bnet,100,8,3,,,4
16.bnet,100,8,3,,,1
17.bnet,100,5,3,,,1
18.bnet,100,2,1,,,1
19.bnet,100,7,3,,,2
20.bnet,100,1,0,,,1
21.bnet,200,5,3,,,1
22.bnet,200,7,3,,,3
23.bnet,200,26,3,,,10
24.bnet,200,1,0,,,1
25.bnet,200,3,2,,,1
26.bnet,200,4,2,,,1
27.bnet,200,20,4,,,9
28.bnet,200,10,3,,,4
29.bnet,200,8,3,,,3
30.bnet,200,12,5,,,2
31.bnet,200,15,5,,,2
32.bnet,200,5,3,,,1
33.bnet,200,9,4,,,3
34.bnet,200,4,2,,,1
35.bnet,200,11,5,,,4
36.bnet,200,50,6,,,15
37.bnet,200,5,3,,,2
38.bnet,200,6,3,,,1
39.bnet,200,3,2,,,1
40.bnet,200,3,2,,,1
41.bnet,300,1,0,,,1
42.bnet,,6,,,,4
43.bnet,300,55,6,,,12
44.bnet,300,4,2,,,2
45.bnet,300,2,1,,,1
46.bnet,300,1,0,,,1
47.bnet,300,2,1,,,1
48.bnet,300,2,1,,,1
49.bnet,300,4,2,,,1
50.bnet,300,4,2,,,2
51.bnet,,0,,,,
52.bnet,,37,,,,12
53.bnet,300,2,1,,,1
54.bnet,300,2,1,,,1
55.bnet,300,5,3,,,1
56.bnet,300,10,4,,,3
57.bnet,300,2,1,,,1
58.bnet,,42,,,,8
59.bnet,300,1,0,,,1
60.bnet,300,8,4,,,1
